state,strata,date,proportion,water_production,year
Perak,overall,2003-01-01,99.6,897,2003
Perak,overall,2004-01-01,99.6,897,2004
Perak,overall,2005-01-01,99.8,955,2005
Perak,overall,2006-01-01,99.8,963,2006
Perak,overall,2007-01-01,99,973,2007
Perak,overall,2008-01-01,99.5,1014,2008
Perak,overall,2009-01-01,99.2,1039,2009
Perak,overall,2010-01-01,99.2,1080,2010
Perak,overall,2011-01-01,99.6,1109,2011
Perak,overall,2012-01-01,99.6,1155,2012
Perak,overall,2013-01-01,99.6,1215,2013
Perak,overall,2014-01-01,99.6,1224,2014
Perak,overall,2015-01-01,99.6,1289,2015
Perak,overall,2016-01-01,99.6,1317,2016
Perak,overall,2017-01-01,99.6,1314,2017
Perak,overall,2018-01-01,99.6,1333,2018
Perak,overall,2019-01-01,99.6,1357,2019
Perak,overall,2020-01-01,99.6,1392,2020
Perak,overall,2021-01-01,99.6,1386,2021
Perak,overall,2022-01-01,99.6,1418,2022
Perlis,overall,2000-01-01,98,84,2000
Perlis,overall,2001-01-01,98,84,2001
Perlis,overall,2002-01-01,99.2,88,2002
Perlis,overall,2003-01-01,99.3,92,2003
Perlis,overall,2004-01-01,99.3,93,2004
Perlis,overall,2005-01-01,99.5,92,2005
Perlis,overall,2006-01-01,99.5,95,2006
Perlis,overall,2007-01-01,99,97,2007
Perlis,overall,2008-01-01,99.4,108,2008
Perlis,overall,2009-01-01,99.4,109,2009
Perlis,overall,2010-01-01,99.4,147,2010
Perlis,overall,2011-01-01,99.5,191,2011
Perlis,overall,2012-01-01,99.5,211,2012
Perlis,overall,2013-01-01,99.5,206,2013
Perlis,overall,2014-01-01,99.5,208,2014
Perlis,overall,2015-01-01,99.5,220,2015
Perlis,overall,2016-01-01,99.5,243,2016
Perlis,overall,2017-01-01,99.5,228,2017
Perlis,overall,2018-01-01,99.5,234,2018
Perlis,overall,2019-01-01,99.5,252,2019
Perlis,overall,2020-01-01,99.5,243,2020
Perlis,overall,2021-01-01,99.5,236,2021
Perlis,overall,2022-01-01,99.5,243,2022
Pulau Pinang,overall,2000-01-01,99,741,2000
Pulau Pinang,overall,2001-01-01,99.8,763,2001
Pulau Pinang,overall,2002-01-01,99.8,767,2002
Pulau Pinang,overall,2003-01-01,99.8,759,2003
Pulau Pinang,overall,2004-01-01,99.6,800,2004
Pulau Pinang,overall,2005-01-01,99.8,819,2005
Pulau Pinang,overall,2006-01-01,99.5,840,2006
Pulau Pinang,overall,2007-01-01,99.9,865,2007
Pulau Pinang,overall,2008-01-01,99.9,896,2008
Pulau Pinang,overall,2009-01-01,99.9,913,2009
Pulau Pinang,overall,2010-01-01,99.9,957,2010
Pulau Pinang,overall,2011-01-01,99.8,951,2011
Pulau Pinang,overall,2012-01-01,99.9,964,2012
Pulau Pinang,overall,2013-01-01,99.9,988,2013
Pulau Pinang,overall,2014-01-01,99.9,995,2014
Pulau Pinang,overall,2015-01-01,99.9,1014,2015
Pulau Pinang,overall,2016-01-01,99.9,1054,2016
Pulau Pinang,overall,2017-01-01,99.9,1058,2017
Pulau Pinang,overall,2018-01-01,99.9,1073,2018
Pulau Pinang,overall,2019-01-01,99.9,1093,2019
Pulau Pinang,overall,2020-01-01,99.9,1108,2020
Pulau Pinang,overall,2021-01-01,99.9,1126,2021
Pulau Pinang,overall,2022-01-01,99.9,1178,2022
Sabah,overall,2000-01-01,73,706,2000
Sabah,overall,2001-01-01,72.9,705,2001
Sabah,overall,2002-01-01,72.9,691,2002
Sabah,overall,2003-01-01,73.9,732,2003
Sabah,overall,2004-01-01,75.8,736,2004
Sabah,overall,2005-01-01,75.5,740,2005
Sabah,overall,2006-01-01,77,743,2006
Sabah,overall,2007-01-01,76,772,2007
Sabah,overall,2008-01-01,76,820,2008
Sabah,overall,2009-01-01,76.3,877,2009
